codigo_ibge,nome,latitude,longitude,UF,Munic,NMunic,Populacao
1506195,Rurópolis,4.0,55.0,15.0,6195.0,RURÓPOLIS,32950.0
2311801,Russas,5.0,38.0,23.0,11801.0,RUSSAS,63975.0
2411106,Ruy Barbosa,6.0,36.0,24.0,11106.0,RUY BARBOSA,32983.0
3156700,Sabará,20.0,44.0,31.0,56700.0,SABARÁ,120770.0
3544608,Sabino,21.0,50.0,35.0,44608.0,SABINO,5150.0
3156809,Sabinópolis,19.0,43.0,31.0,56809.0,SABINÓPOLIS,15889.0
2311900,Saboeiro,7.0,40.0,23.0,11900.0,SABOEIRO,16282.0
4122701,Sabáudia,23.0,52.0,41.0,22701.0,SABÁUDIA,5447.0
3156908,Sacramento,20.0,47.0,31.0,56908.0,SACRAMENTO,22159.0
4316428,Sagrada Família,28.0,53.0,43.0,16428.0,SAGRADA FAMÍLIA,2595.0
3544707,Sagres,22.0,51.0,35.0,44707.0,SAGRES,2307.0
2612000,Sairé,8.0,36.0,26.0,12000.0,SAIRÉ,13709.0
4316436,Saldanha Marinho,28.0,53.0,43.0,16436.0,SALDANHA MARINHO,2982.0
3544806,Sales,21.0,49.0,35.0,44806.0,SALES,5025.0
3544905,Sales Oliveira,21.0,48.0,35.0,44905.0,SALES OLIVEIRA,8187.0
3545001,Salesópolis,24.0,46.0,35.0,45001.0,SALESÓPOLIS,15157.0
4215307,Salete,27.0,50.0,42.0,15307.0,SALETE,7432.0
2513000,Salgadinho,7.0,37.0,25.0,13000.0,SALGADINHO,11137.0
2806206,Salgado,11.0,37.0,28.0,6206.0,SALGADO,18563.0
4122800,Salgado Filho,26.0,53.0,41.0,22800.0,SALGADO FILHO,4666.0
2513109,Salgado de São Félix,7.0,35.0,25.0,13109.0,SALGADO DE SÃO FÉLIX,12526.0
2612208,Salgueiro,8.0,39.0,26.0,12208.0,SALGUEIRO,53167.0
3157005,Salinas,16.0,42.0,31.0,57005.0,SALINAS,37370.0
2927309,Salinas da Margarida,13.0,39.0,29.0,27309.0,SALINAS DA MARGARIDA,13090.0
1506203,Salinópolis,1.0,47.0,15.0,6203.0,SALINÓPOLIS,37066.0
2311959,Salitre,7.0,40.0,23.0,11959.0,SALITRE,15798.0
3545100,Salmourão,22.0,51.0,35.0,45100.0,SALMOURÃO,4551.0
2612307,Saloá,9.0,37.0,26.0,12307.0,SALOÁ,15027.0
4215356,Saltinho,27.0,53.0,42.0,15356.0,SALTINHO,10658.0
3545209,Salto,23.0,47.0,35.0,45209.0,SALTO,102405.0
3545407,Salto Grande,23.0,50.0,35.0,45407.0,SALTO GRANDE,8592.0
